date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:36	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-57b464d24c1a3%22	http://mcbeki.com/robots.txt		(from )
20:15:37	17844/17844	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:15:38%20GMT	http://mcbeki.com/	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/index.html	(from )
20:15:38	48312/48312	---M-Z	200	added ('OK')	text/css	etag:%22bcb8-57bc85bacc408-gzip%22	http://mcbeki.com/main/style.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/style.css	(from http://mcbeki.com/)
20:15:38	11805/11805	---M-Z	200	added ('OK')	text/css	etag:%222e1d-57b464d23b804-gzip%22	http://mcbeki.com/backend/css/feather.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/backend/css/feather.css	(from http://mcbeki.com/)
20:15:38	20132/20132	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%224ea4-57b464d23f684%22	http://mcbeki.com/favicon.ico	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/favicon.ico	(from http://mcbeki.com/)
20:15:39	20106/20106	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:15:41%20GMT	http://mcbeki.com/about-me	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/about-me.html	(from http://mcbeki.com/)
20:15:39	16583/16583	---M--	200	added ('OK')	image/png	etag:%2240c7-57b464d2492c3%22	http://mcbeki.com/main/img/core-img/logo.png	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/main/img/core-img/logo.png	(from http://mcbeki.com/)
20:15:40	11711/11711	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:15:41%20GMT	http://mcbeki.com/services	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/services.html	(from http://mcbeki.com/)
20:15:40	12944/12944	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:15:42%20GMT	http://mcbeki.com/portfolio	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/portfolio.html	(from http://mcbeki.com/)
20:15:41	8943/8943	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:15:42%20GMT	http://mcbeki.com/contact	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/contact.html	(from http://mcbeki.com/)
20:15:43	10305/10305	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Feb%202019%2019:15:45%20GMT	http://mcbeki.com/single/19	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/Cyberatung/Cyberatung/mcbeki.com/single/19.html	(from http://mcbeki.com/)
